    time           f_x           f_y           f_z          f_xv         f_yv          f_zv         f_xp           f_yp          f_zp     
 0.0040000000 16.3251217952  48.6389681641 0.0000000000 0.6172328936 -0.0793744315 0.0000000000 15.7078889016  48.7183425956 0.0000000000 
 0.0106000000 -9.0968638056 -29.2695144835 0.0000000000 0.3347086645 -0.0714639207 0.0000000000 -9.4315724700 -29.1980505628 0.0000000000 
 0.3017705839  0.0964675174   0.2338260882 0.0000000000 0.0685572975 -0.0060583068 0.0000000000  0.0279102199   0.2398843950 0.0000000000 
 0.3039278504  0.2065305626   0.5551034583 0.0000000000 0.0686208433 -0.0059535631 0.0000000000  0.1379097193   0.5610570214 0.0000000000 
 0.3060845363  0.1249549581   0.3475905954 0.0000000000 0.0682683709 -0.0059294541 0.0000000000  0.0566865872   0.3535200495 0.0000000000 
 0.3082430787  0.1249053936   0.3471159485 0.0000000000 0.0679752924 -0.0059281962 0.0000000000  0.0569301012   0.3530441447 0.0000000000 
 0.3104035704  0.1884957288   0.4803305233 0.0000000000 0.0680161330 -0.0058573627 0.0000000000  0.1204795958   0.4861878860 0.0000000000 
 0.3125614359  0.1358772427   0.4088226343 0.0000000000 0.0675594715 -0.0057690152 0.0000000000  0.0683177713   0.4145916495 0.0000000000 
 0.3147191160  0.1840155664   0.4840097675 0.0000000000 0.0674748755 -0.0056402944 0.0000000000  0.1165406909   0.4896500619 0.0000000000 
 0.3168749235  0.1783644151   0.4903309661 0.0000000000 0.0672795635 -0.0055656373 0.0000000000  0.1110848516   0.4958966035 0.0000000000 
 0.3190304225  0.1418655070   0.4916712160 0.0000000000 0.0666877870 -0.0054211703 0.0000000000  0.0751777200   0.4970923862 0.0000000000 
 0.3211844631  0.1414682941   0.3612700707 0.0000000000 0.0665006021 -0.0054401829 0.0000000000  0.0749676920   0.3667102535 0.0000000000 
 0.3233403330  0.1278204230   0.3748465871 0.0000000000 0.0661645696 -0.0054013894 0.0000000000  0.0616558534   0.3802479765 0.0000000000 
 0.3254977032  0.1436202277   0.3664937997 0.0000000000 0.0660706458 -0.0054038488 0.0000000000  0.0775495820   0.3718976484 0.0000000000 
 0.3276571030  0.1646660801   0.4930538934 0.0000000000 0.0658069540 -0.0052787128 0.0000000000  0.0988591261   0.4983326062 0.0000000000 
 0.3298157319  0.1646849105   0.4931773350 0.0000000000 0.0655281084 -0.0051491855 0.0000000000  0.0991568021   0.4983265205 0.0000000000 
 0.3319717915  0.1644168769   0.4773918078 0.0000000000 0.0653431879 -0.0050957207 0.0000000000  0.0990736891   0.4824875285 0.0000000000 
 0.3341273815  0.1567180991   0.4333505707 0.0000000000 0.0651760252 -0.0050706150 0.0000000000  0.0915420739   0.4384211858 0.0000000000 
 0.3362818986  0.1292922543   0.3240093236 0.0000000000 0.0650317616 -0.0051074615 0.0000000000  0.0642604927   0.3291167851 0.0000000000 
 0.3384373252  0.1722099067   0.5293117603 0.0000000000 0.0647508739 -0.0049421303 0.0000000000  0.1074590327   0.5342538906 0.0000000000 
 0.3405906437  0.1268951228   0.3305721437 0.0000000000 0.0645208828 -0.0049672950 0.0000000000  0.0623742400   0.3355394387 0.0000000000 
 0.3427450020  0.1272140939   0.3321261943 0.0000000000 0.0643275753 -0.0049843692 0.0000000000  0.0628865186   0.3371105635 0.0000000000 
 0.3449015721  0.1637613690   0.4851819098 0.0000000000 0.0641222452 -0.0048425565 0.0000000000  0.0996391238   0.4900244663 0.0000000000 
 0.3470575477  0.1673190510   0.5098612522 0.0000000000 0.0638446601 -0.0047191735 0.0000000000  0.1034743909   0.5145804257 0.0000000000 
 0.3492121756  0.1391938517   0.3988353055 0.0000000000 0.0635877091 -0.0046860028 0.0000000000  0.0756061426   0.4035213083 0.0000000000 
 0.3513662302  0.1582233133   0.4628958587 0.0000000000 0.0633802552 -0.0046125373 0.0000000000  0.0948430580   0.4675083960 0.0000000000 
 0.3535196486  0.1579867596   0.4629293936 0.0000000000 0.0631747556 -0.0045422639 0.0000000000  0.0948120040   0.4674716575 0.0000000000 
 0.3556726303  0.1553134101   0.4571112102 0.0000000000 0.0630015360 -0.0044893741 0.0000000000  0.0923118741   0.4616005843 0.0000000000 
 0.3578251619  0.1385080780   0.3668237198 0.0000000000 0.0628662131 -0.0045188196 0.0000000000  0.0756418649   0.3713425393 0.0000000000 
 0.3599771618  0.1795452016   0.5502282454 0.0000000000 0.0627093693 -0.0043787396 0.0000000000  0.1168358323   0.5546069850 0.0000000000 
 0.3621283595  0.1667876160   0.5041598164 0.0000000000 0.0624571574 -0.0042684769 0.0000000000  0.1043304586   0.5084282933 0.0000000000 
 0.3642779669  0.1498511165   0.4449462910 0.0000000000 0.0622147340 -0.0042260858 0.0000000000  0.0876363825   0.4491723768 0.0000000000 
 0.3664287827  0.0954085686   0.2452017395 0.0000000000 0.0619150038 -0.0042753541 0.0000000000  0.0334935648   0.2494770936 0.0000000000 
 0.3685804990  0.1791687770   0.5505203691 0.0000000000 0.0617621521 -0.0041368703 0.0000000000  0.1174066249   0.5546572394 0.0000000000 
 0.3707312296  0.1423092377   0.3752427919 0.0000000000 0.0617339558 -0.0041747743 0.0000000000  0.0805752819   0.3794175662 0.0000000000 
 0.3728817623  0.1421495468   0.3751849244 0.0000000000 0.0616782446 -0.0041879065 0.0000000000  0.0804713023   0.3793728309 0.0000000000 
 0.3750320206  0.1382463145   0.4918113651 0.0000000000 0.0610231044 -0.0039821577 0.0000000000  0.0772232100   0.4957935228 0.0000000000 
 0.3771824950  0.1538401554   0.4321586630 0.0000000000 0.0609699630 -0.0039651483 0.0000000000  0.0928701924   0.4361238114 0.0000000000 
 0.3793327922  0.1538163526   0.4323719116 0.0000000000 0.0609061539 -0.0039523284 0.0000000000  0.0929101987   0.4363242401 0.0000000000 
 0.3814828162  0.1535910921   0.4328777291 0.0000000000 0.0608836121 -0.0039126025 0.0000000000  0.0927074800   0.4367903316 0.0000000000 
 0.3836317017  0.1536496832   0.4336426764 0.0000000000 0.0607693574 -0.0039081060 0.0000000000  0.0928803258   0.4375507824 0.0000000000 
