    time           f_x           f_y          f_z          f_xv         f_yv          f_zv         f_xp          f_yp          f_zp     
 0.9123923210  0.0717719240  0.1664872244 0.0000000000 0.0534998609  0.0001293752 0.0000000000  0.0182720631  0.1663578492 0.0000000000 
 0.9165403591  0.0666534526 -0.0240964027 0.0000000000 0.0533888750 -0.0000026117 0.0000000000  0.0132645776 -0.0240937910 0.0000000000 
 0.9206966363  0.0674606552 -0.0264700680 0.0000000000 0.0533237720 -0.0000113448 0.0000000000  0.0141368832 -0.0264587232 0.0000000000 
 0.9248542011  0.0713039481  0.0626263461 0.0000000000 0.0533039895  0.0000263646 0.0000000000  0.0179999586  0.0625999815 0.0000000000 
 0.9290121883  0.0712632395  0.0626057419 0.0000000000 0.0532744511  0.0000433080 0.0000000000  0.0179887884  0.0625624339 0.0000000000 
 0.9331706292  0.0672662968 -0.0089778356 0.0000000000 0.0532126821  0.0000053408 0.0000000000  0.0140536146 -0.0089831764 0.0000000000 
 0.9373326596  0.0714908170  0.0458024603 0.0000000000 0.0531708409  0.0000163216 0.0000000000  0.0183199761  0.0457861387 0.0000000000 
 0.9414957685  0.0665497907  0.0368269265 0.0000000000 0.0530317046  0.0000121388 0.0000000000  0.0135180861  0.0368147877 0.0000000000 
 0.9456588889  0.0663405830  0.0371947938 0.0000000000 0.0528997565  0.0000228301 0.0000000000  0.0134408265  0.0371719637 0.0000000000 
 0.9498239077  0.0660408511  0.0568621483 0.0000000000 0.0528128166  0.0000783013 0.0000000000  0.0132280345  0.0567838470 0.0000000000 
 0.9539868980  0.0660870081  0.0207926866 0.0000000000 0.0527012538  0.0000571719 0.0000000000  0.0133857543  0.0207355146 0.0000000000 
 0.9581416817  0.0744374224  0.0673776846 0.0000000000 0.0527965731  0.0000872100 0.0000000000  0.0216408493  0.0672904745 0.0000000000 
 0.9623025328  0.0776959440 -0.0189194403 0.0000000000 0.0529550247  0.0000002812 0.0000000000  0.0247409193 -0.0189197215 0.0000000000 
 0.9664516752  0.0594740519 -0.0243777645 0.0000000000 0.0527727025 -0.0000088194 0.0000000000  0.0067013495 -0.0243689451 0.0000000000 
 0.9706011482  0.0739002917 -0.0314168537 0.0000000000 0.0527506586 -0.0000785064 0.0000000000  0.0211496331 -0.0313383473 0.0000000000 
 0.9747615839  0.0688451428  0.1718887916 0.0000000000 0.0526451543  0.0000958004 0.0000000000  0.0161999884  0.1717929912 0.0000000000 
 0.9789137230  0.0641225286  0.0040144954 0.0000000000 0.0524787638  0.0000754039 0.0000000000  0.0116437649  0.0039390916 0.0000000000 
 0.9830686131  0.0659385655  0.1040453342 0.0000000000 0.0523854777  0.0001469876 0.0000000000  0.0135530878  0.1038983466 0.0000000000 
 0.9872254150  0.0689365399  0.0911128497 0.0000000000 0.0523632403  0.0001945105 0.0000000000  0.0165732996  0.0909183392 0.0000000000 
 0.9913798421  0.0718937598  0.0607900350 0.0000000000 0.0522543900  0.0001419389 0.0000000000  0.0196393697  0.0606480961 0.0000000000 
 0.9955258898  0.0689507186 -0.0867166857 0.0000000000 0.0523325845  0.0000124556 0.0000000000  0.0166181341 -0.0867291413 0.0000000000 
 0.9996816063  0.0667378077 -0.0782244265 0.0000000000 0.0522227715 -0.0000588280 0.0000000000  0.0145150362 -0.0781655984 0.0000000000 
 1.0038463110  0.0663523870  0.1735141645 0.0000000000 0.0520917576  0.0000824432 0.0000000000  0.0142606294  0.1734317213 0.0000000000 
 1.0080173106  0.0634702793 -0.0458590508 0.0000000000 0.0518817516  0.0000052181 0.0000000000  0.0115885277 -0.0458642689 0.0000000000 
 1.0121861994  0.0730953790  0.0950164216 0.0000000000 0.0519682098  0.0000668358 0.0000000000  0.0211271692  0.0949495857 0.0000000000 
 1.0163529905  0.0667062157  0.0208196632 0.0000000000 0.0518893348  0.0000499547 0.0000000000  0.0148168809  0.0207697085 0.0000000000 
 1.0205206260  0.0665183640  0.0208864945 0.0000000000 0.0517955781  0.0000431332 0.0000000000  0.0147227859  0.0208433613 0.0000000000 
 1.0246888714  0.0666367007  0.0206170531 0.0000000000 0.0517033654  0.0000270759 0.0000000000  0.0149333353  0.0205899772 0.0000000000 
 1.0288582275  0.0662127211  0.0214474989 0.0000000000 0.0516167701  0.0000309611 0.0000000000  0.0145959510  0.0214165378 0.0000000000 
 1.0330307301  0.0746621905  0.0667450393 0.0000000000 0.0517472233  0.0000699264 0.0000000000  0.0229149672  0.0666751129 0.0000000000 
 1.0371985613  0.0582413270  0.0175844677 0.0000000000 0.0514258704  0.0000553218 0.0000000000  0.0068154566  0.0175291459 0.0000000000 
 1.0413687828  0.0589813530  0.0179975187 0.0000000000 0.0511760917  0.0000736923 0.0000000000  0.0078052613  0.0179238265 0.0000000000 
 1.0455452031  0.0779521003  0.0695592872 0.0000000000 0.0514780436  0.0001155482 0.0000000000  0.0264740567  0.0694437390 0.0000000000 
 1.0497182473  0.0665008858  0.0624476065 0.0000000000 0.0513540933  0.0001618636 0.0000000000  0.0151467925  0.0622857429 0.0000000000 
 1.0538949035  0.0676513744  0.0601094823 0.0000000000 0.0512848268  0.0001551419 0.0000000000  0.0163665475  0.0599543405 0.0000000000 
 1.0580559852  0.0761966927  0.0352928595 0.0000000000 0.0514947076  0.0001088043 0.0000000000  0.0247019851  0.0351840552 0.0000000000 
 1.0622184472  0.0719631615 -0.0010279560 0.0000000000 0.0515664071  0.0000582594 0.0000000000  0.0203967544 -0.0010862154 0.0000000000 
 1.0663853288  0.0704872853 -0.0000077064 0.0000000000 0.0516035050  0.0000547660 0.0000000000  0.0188837803 -0.0000624724 0.0000000000 
 1.0705533035  0.0489884989  0.0157430398 0.0000000000 0.0510083682  0.0000373787 0.0000000000 -0.0020198693  0.0157056611 0.0000000000 
 1.0747267982  0.0575604753  0.0131416693 0.0000000000 0.0506642210  0.0000287026 0.0000000000  0.0068962544  0.0131129667 0.0000000000 
 1.0788941911  0.0978069282  0.0464145084 0.0000000000 0.0515558666  0.0000994127 0.0000000000  0.0462510616  0.0463150957 0.0000000000 
 1.0830662701  0.0496307969  0.0756832300 0.0000000000 0.0509049113  0.0001286503 0.0000000000 -0.0012741144  0.0755545797 0.0000000000 
 1.0872338685  0.0868725874  0.0709312967 0.0000000000 0.0514062481  0.0001431607 0.0000000000  0.0354663392  0.0707881360 0.0000000000 
